parcode,trial,fix_time,fix_item
10,1,98,1
10,1,426,2
10,1,319,1
10,1,259,2
10,1,1472,1
10,1,382,2
10,1,217,1
10,2,299,2
10,2,397,1
10,2,499,2
10,2,301,1
10,3,540,1
10,3,262,2
10,4,341,1
10,4,618,2
10,4,402,1
10,4,239,2
10,5,316,1
10,5,700,2
10,5,203,1
10,9,197,2
10,9,180,1
10,9,416,2
10,9,697,1
10,9,419,2
10,9,260,1
10,10,339,1
10,10,940,2
10,10,399,1
10,11,1057,1
10,16,340,1
10,16,420,2
10,17,356,1
10,17,499,2
10,17,20,1
10,18,1356,1
10,19,458,1
10,19,516,2
10,19,200,1
10,20,1237,1
10,20,538,2
10,20,281,1
10,20,219,2
10,20,738,1
10,20,1515,2
10,20,498,1
10,20,200,2
10,22,598,1
10,22,319,2
10,23,281,1
10,23,299,2
10,23,419,1
10,24,319,1
10,24,578,2
10,24,298,1
10,24,896,2
10,24,862,1
10,24,71,2
10,25,318,1
10,25,739,2
10,25,563,1
10,25,873,2
10,25,658,1
10,26,441,1
10,26,518,2
10,26,1632,1
10,26,518,2
10,27,320,1
10,27,280,2
10,27,582,1
10,27,399,2
10,27,80,1
10,28,346,1
10,28,717,2
10,28,360,1
10,29,518,1
10,29,498,2
10,29,81,1
10,30,438,1
10,30,458,2
10,30,358,1
10,31,219,1
10,31,421,2
10,31,479,1
10,31,140,2
10,32,339,1
10,32,362,2
10,32,618,1
10,33,196,1
10,33,421,2
10,33,720,1
10,33,418,2
10,33,339,1
10,34,299,1
10,34,481,2
10,34,320,1
10,35,299,1
10,35,840,2
10,35,599,1
10,35,59,2
10,36,217,2
10,36,737,1
10,36,20,2
10,38,216,1
10,38,640,2
10,39,339,1
10,39,179,2
10,39,818,1
10,40,399,1
10,40,420,2
10,40,740,1
10,40,2210,2
10,40,1057,1
10,40,458,2
10,40,737,1
10,40,798,2
10,40,735,1
10,41,539,1
10,41,259,2
10,41,201,1
10,42,299,1
10,42,420,2
10,42,359,1
10,43,579,1
10,43,398,2
10,44,399,1
10,44,642,2
10,44,76,1
10,45,298,1
10,45,541,2
10,45,120,1
10,46,216,1
10,46,79,2
10,46,20,1
10,47,387,1
10,47,239,2
10,47,518,1
10,47,618,2
10,47,219,1
10,48,259,2
10,48,539,1
10,49,140,2
10,49,517,1
10,50,225,1
10,50,517,2
10,50,478,1
10,50,20,2
10,51,339,1
10,51,179,2
10,52,339,1
10,52,419,2
10,52,60,1
10,53,199,2
10,53,278,1
10,53,2012,2
10,53,1236,1
10,54,359,1
10,54,398,2
10,54,161,1
10,55,380,1
10,55,460,2
10,55,440,1
10,55,380,2
10,56,279,1
10,56,281,2
10,57,240,1
10,57,316,2
10,57,200,1
10,57,378,2
10,57,59,1
10,58,219,1
10,58,338,2
10,58,239,1
10,58,781,2
10,59,179,2
10,59,259,1
10,59,279,2
10,59,818,1
10,59,20,2
10,60,379,1
10,60,319,2
10,61,219,1
10,61,419,2
10,61,179,1
10,62,220,1
10,62,1155,2
10,62,937,1
10,62,616,2
10,62,758,1
10,62,798,2
10,62,1933,1
10,63,498,1
10,63,339,2
10,64,461,1
10,64,100,2
10,65,220,1
10,65,480,2
10,66,520,1
10,66,715,2
10,66,61,1
10,67,219,1
10,67,222,2
10,68,578,1
10,68,458,2
10,69,359,1
10,69,398,2
10,70,339,1
10,70,537,2
10,70,121,1
10,71,511,1
10,71,110,2
10,72,179,1
10,72,240,2
10,73,220,2
10,73,458,1
10,73,39,2
10,74,498,1
10,74,637,2
10,74,418,1
10,74,79,2
10,75,179,1
10,75,478,2
10,75,239,1
10,76,239,2
10,77,358,2
10,77,319,1
10,77,179,2
10,78,299,1
10,78,597,2
10,78,299,1
10,79,373,1
10,79,299,2
10,80,402,1
10,80,761,2
10,80,522,1
10,81,380,2
10,81,298,1
10,81,199,2
10,82,299,2
10,82,419,1
10,83,339,1
10,83,458,2
10,83,577,1
10,83,300,2
10,83,597,1
10,83,319,2
10,83,220,1
10,83,278,2
10,83,260,1
10,83,300,2
10,84,398,1
10,84,538,2
10,84,60,1
10,85,340,1
10,85,418,2
10,85,817,1
10,85,380,2
10,85,756,1
10,85,478,2
10,85,279,1
10,85,400,2
10,86,378,1
10,86,459,2
10,87,319,1
10,87,418,2
10,87,1176,1
10,87,120,2
10,88,299,1
10,88,240,2
10,89,379,1
10,89,358,2
10,89,418,1
10,89,120,2
10,90,237,1
10,90,418,2
10,90,81,1
10,91,359,1
10,91,737,2
10,91,837,1
10,91,99,2
10,92,339,1
10,92,319,2
10,93,219,1
10,93,343,2
10,93,521,1
10,93,439,2
10,94,240,1
10,94,239,2
10,94,161,1
10,95,179,1
10,95,219,2
10,95,160,1
10,96,239,1
10,96,1594,2
10,97,156,2
10,97,458,1
10,97,60,2
10,98,160,1
10,98,359,2
10,98,20,1
10,99,179,1
10,99,378,2
10,99,81,1
10,100,258,1
10,100,438,2
10,100,20,1
11,1,338,1
11,1,440,2
11,1,319,1
11,1,380,2
11,2,242,2
11,2,339,1
11,2,522,2
11,2,159,1
11,3,476,1
11,3,1373,2
11,4,225,1
11,4,881,2
11,4,135,1
11,4,239,2
11,4,962,1
11,4,1462,2
11,4,230,1
11,5,696,1
11,5,998,2
11,5,137,1
11,5,625,2
11,5,212,1
11,6,460,2
11,6,618,1
11,6,1057,2
11,6,1307,1
11,6,444,2
11,6,20,1
11,7,511,1
11,7,700,2
11,7,455,1
11,7,442,2
11,7,77,1
11,8,535,1
11,8,940,2
11,9,515,1
11,9,553,2
11,9,1551,1
11,9,163,2
11,9,60,1
11,10,159,2
11,10,878,1
11,11,282,2
11,11,649,1
11,11,660,2
11,12,219,1
11,12,283,2
11,12,1035,1
11,13,579,1
11,13,875,2
11,14,358,1
11,14,837,2
11,14,840,1
11,14,476,2
11,15,218,1
11,15,521,2
11,15,401,1
11,15,353,2
11,16,321,1
11,16,615,2
11,16,699,1
11,17,499,1
11,17,398,2
11,18,714,1
11,18,202,2
11,19,943,1
11,19,1508,2
11,20,366,1
11,20,856,2
11,20,479,1
11,21,420,1
11,21,377,2
11,22,396,1
11,22,746,2
11,22,39,1
11,23,285,1
11,23,752,2
11,23,239,1
11,24,302,1
11,24,654,2
11,25,260,1
11,25,398,2
11,25,139,1
11,26,474,1
11,26,702,2
11,26,20,1
11,27,302,1
11,27,514,2
11,27,877,1
11,28,559,1
11,28,778,2
11,29,304,1
11,29,608,2
11,29,2210,1
11,29,1016,2
11,29,263,1
11,29,196,2
11,30,397,1
11,30,1100,2
11,30,438,1
11,31,235,1
11,31,760,2
11,31,259,1
11,32,239,2
11,32,699,1
11,32,617,2
11,32,697,1
11,32,122,2
11,33,259,2
11,33,459,1
11,34,998,2
11,34,462,1
11,34,893,2
11,35,241,1
11,35,795,2
11,35,640,1
11,35,1653,2
11,35,658,1
11,36,600,1
11,36,558,2
11,37,496,1
11,37,718,2
11,38,286,2
11,38,598,1
11,38,606,2
11,38,2629,1
11,39,359,1
11,39,359,2
11,39,362,1
11,39,80,2
11,40,338,2
11,40,77,1
11,40,22,2
11,40,379,1
11,40,717,2
11,40,421,1
11,41,221,2
11,41,751,1
11,42,301,1
11,42,1036,2
11,43,719,1
11,44,717,1
11,44,120,2
11,45,700,2
11,45,283,1
11,45,538,2
11,46,757,1
11,46,359,2
11,47,237,1
11,47,1076,2
11,47,321,1
11,47,80,2
11,48,400,1
11,48,399,2
11,49,237,1
11,49,838,2
11,49,40,1
11,50,458,1
11,50,402,2
11,51,298,1
11,51,443,2
11,51,1650,1
11,51,996,2
11,52,360,1
11,52,815,2
11,52,817,1
11,53,475,1
11,53,541,2
11,54,395,1
11,54,601,2
11,55,295,1
11,55,578,2
11,56,335,1
11,56,463,2
11,56,301,1
11,57,348,1
11,57,422,2
11,58,320,1
11,58,517,2
11,58,98,1
11,59,241,1
11,59,399,2
11,60,321,1
11,60,695,2
11,60,140,1
11,61,196,1
11,61,738,2
11,62,200,1
11,62,559,2
11,62,176,1
11,63,339,1
11,63,280,2
11,64,374,1
11,64,761,2
11,65,244,1
11,65,462,2
11,65,497,1
11,65,184,2
11,66,80,1
11,66,19,2
11,66,122,1
11,66,662,2
11,66,214,1
11,66,549,2
11,66,308,1
11,67,538,2
11,67,400,1
11,67,238,2
11,68,219,1
11,68,374,2
11,68,641,1
11,68,977,2
11,69,459,1
11,69,438,2
11,70,279,1
11,70,576,2
11,70,558,1
11,70,615,2
11,71,182,1
11,71,660,2
11,71,217,1
11,72,220,2
11,72,295,1
11,72,398,2
11,73,222,1
11,73,851,2
11,74,482,1
11,74,1192,2
11,75,245,1
11,75,473,2
11,76,97,1
11,76,339,2
11,76,758,1
11,77,17,1
11,77,278,2
11,77,540,1
11,77,481,2
11,78,201,1
11,78,73,2
11,79,241,1
11,79,319,2
11,79,200,1
11,80,279,2
11,80,236,1
11,81,283,2
11,81,475,1
11,81,520,2
11,81,100,1
11,82,583,1
11,82,513,2
11,82,82,1
11,83,199,1
11,83,697,2
11,84,229,1
11,84,597,2
11,86,338,1
11,86,250,2
11,87,279,1
11,87,483,2
11,88,278,1
11,88,239,2
11,89,303,2
11,89,836,1
