"d","sigma","theta"
0.00055,0.035,0.3
0.00065,0.035,0.3
0.00075,0.035,0.3
0.00085,0.035,0.3
0.00055,0.045,0.3
0.00065,0.045,0.3
0.00075,0.045,0.3
0.00085,0.045,0.3
0.00055,0.055,0.3
0.00065,0.055,0.3
0.00075,0.055,0.3
0.00085,0.055,0.3
0.00055,0.065,0.3
0.00065,0.065,0.3
0.00075,0.065,0.3
0.00085,0.065,0.3
0.00055,0.035,0.5
0.00065,0.035,0.5
0.00075,0.035,0.5
0.00085,0.035,0.5
0.00055,0.045,0.5
0.00065,0.045,0.5
0.00075,0.045,0.5
0.00085,0.045,0.5
0.00055,0.055,0.5
0.00065,0.055,0.5
0.00075,0.055,0.5
0.00085,0.055,0.5
0.00055,0.065,0.5
0.00065,0.065,0.5
0.00075,0.065,0.5
0.00085,0.065,0.5
0.00055,0.035,0.7
0.00065,0.035,0.7
0.00075,0.035,0.7
0.00085,0.035,0.7
0.00055,0.045,0.7
0.00065,0.045,0.7
0.00075,0.045,0.7
0.00085,0.045,0.7
0.00055,0.055,0.7
0.00065,0.055,0.7
0.00075,0.055,0.7
0.00085,0.055,0.7
0.00055,0.065,0.7
0.00065,0.065,0.7
0.00075,0.065,0.7
0.00085,0.065,0.7
0.00055,0.035,0.9
0.00065,0.035,0.9
0.00075,0.035,0.9
0.00085,0.035,0.9
0.00055,0.045,0.9
0.00065,0.045,0.9
0.00075,0.045,0.9
0.00085,0.045,0.9
0.00055,0.055,0.9
0.00065,0.055,0.9
0.00075,0.055,0.9
0.00085,0.055,0.9
0.00055,0.065,0.9
0.00065,0.065,0.9
0.00075,0.065,0.9
0.00085,0.065,0.9
