"d","sigma","theta","lambda"
0.003,0.01,0,1e-04
0.007,0.01,0,1e-04
0.011,0.01,0,1e-04
0.003,0.03,0,1e-04
0.007,0.03,0,1e-04
0.011,0.03,0,1e-04
0.003,0.05,0,1e-04
0.007,0.05,0,1e-04
0.011,0.05,0,1e-04
0.003,0.01,0.6,1e-04
0.007,0.01,0.6,1e-04
0.011,0.01,0.6,1e-04
0.003,0.03,0.6,1e-04
0.007,0.03,0.6,1e-04
0.011,0.03,0.6,1e-04
0.003,0.05,0.6,1e-04
0.007,0.05,0.6,1e-04
0.011,0.05,0.6,1e-04
0.003,0.01,0.9,1e-04
0.007,0.01,0.9,1e-04
0.011,0.01,0.9,1e-04
0.003,0.03,0.9,1e-04
0.007,0.03,0.9,1e-04
0.011,0.03,0.9,1e-04
0.003,0.05,0.9,1e-04
0.007,0.05,0.9,1e-04
0.011,0.05,0.9,1e-04
0.003,0.01,0,5e-04
0.007,0.01,0,5e-04
0.011,0.01,0,5e-04
0.003,0.03,0,5e-04
0.007,0.03,0,5e-04
0.011,0.03,0,5e-04
0.003,0.05,0,5e-04
0.007,0.05,0,5e-04
0.011,0.05,0,5e-04
0.003,0.01,0.6,5e-04
0.007,0.01,0.6,5e-04
0.011,0.01,0.6,5e-04
0.003,0.03,0.6,5e-04
0.007,0.03,0.6,5e-04
0.011,0.03,0.6,5e-04
0.003,0.05,0.6,5e-04
0.007,0.05,0.6,5e-04
0.011,0.05,0.6,5e-04
0.003,0.01,0.9,5e-04
0.007,0.01,0.9,5e-04
0.011,0.01,0.9,5e-04
0.003,0.03,0.9,5e-04
0.007,0.03,0.9,5e-04
0.011,0.03,0.9,5e-04
0.003,0.05,0.9,5e-04
0.007,0.05,0.9,5e-04
0.011,0.05,0.9,5e-04
0.003,0.01,0,0.001
0.007,0.01,0,0.001
0.011,0.01,0,0.001
0.003,0.03,0,0.001
0.007,0.03,0,0.001
0.011,0.03,0,0.001
0.003,0.05,0,0.001
0.007,0.05,0,0.001
0.011,0.05,0,0.001
0.003,0.01,0.6,0.001
0.007,0.01,0.6,0.001
0.011,0.01,0.6,0.001
0.003,0.03,0.6,0.001
0.007,0.03,0.6,0.001
0.011,0.03,0.6,0.001
0.003,0.05,0.6,0.001
0.007,0.05,0.6,0.001
0.011,0.05,0.6,0.001
0.003,0.01,0.9,0.001
0.007,0.01,0.9,0.001
0.011,0.01,0.9,0.001
0.003,0.03,0.9,0.001
0.007,0.03,0.9,0.001
0.011,0.03,0.9,0.001
0.003,0.05,0.9,0.001
0.007,0.05,0.9,0.001
0.011,0.05,0.9,0.001
