fix_item,fix_time,parcode,trial
0,250.0,1,1
1,190.0,1,1
0,400.0,1,1
2,630.0,1,1
0,60.0,1,1
1,170.0,1,1
0,220.0,1,2
1,190.0,1,2
0,190.0,1,2
2,1190.0,1,2
0,320.0,1,2
1,10.0,1,2
0,350.0,1,3
1,240.0,1,3
0,100.0,1,3
2,410.0,1,3
0,70.0,1,3
1,1350.0,1,3
0,240.0,1,4
1,210.0,1,4
0,80.0,1,4
2,840.0,1,4
0,90.0,1,4
1,420.0,1,4
0,70.0,1,4
2,320.0,1,4
0,230.0,1,5
1,190.0,1,5
0,120.0,1,5
2,230.0,1,5
0,60.0,1,5
1,480.0,1,5
0,290.0,1,6
2,210.0,1,6
0,100.0,1,6
1,600.0,1,6
0,80.0,1,6
2,810.0,1,6
0,80.0,1,6
1,440.0,1,6
0,250.0,1,7
1,250.0,1,7
0,70.0,1,7
2,460.0,1,7
0,70.0,1,7
1,270.0,1,7
0,240.0,1,8
1,100.0,1,8
0,80.0,1,8
2,670.0,1,8
0,90.0,1,8
1,520.0,1,8
0,210.0,1,9
1,690.0,1,9
0,70.0,1,9
2,340.0,1,9
0,180.0,1,9
1,320.0,1,9
0,260.0,1,10
1,340.0,1,10
0,60.0,1,10
2,530.0,1,10
0,80.0,1,10
1,290.0,1,10
0,80.0,1,10
2,310.0,1,10
0,210.0,1,11
1,260.0,1,11
0,90.0,1,11
2,420.0,1,11
0,260.0,1,11
1,240.0,1,11
0,210.0,1,12
1,390.0,1,12
0,90.0,1,12
2,480.0,1,12
0,180.0,1,13
1,250.0,1,13
0,70.0,1,13
2,330.0,1,13
0,60.0,1,13
1,90.0,1,13
0,200.0,1,14
1,250.0,1,14
0,90.0,1,14
2,260.0,1,14
0,60.0,1,14
1,950.0,1,14
0,90.0,1,14
2,970.0,1,14
0,70.0,1,14
1,230.0,1,14
0,130.0,1,14
2,800.0,1,14
0,70.0,1,14
1,620.0,1,14
0,70.0,1,14
2,820.0,1,14
0,280.0,1,15
1,220.0,1,15
0,70.0,1,15
2,670.0,1,15
0,270.0,1,16
2,190.0,1,16
0,70.0,1,16
1,470.0,1,16
0,70.0,1,16
2,520.0,1,16
0,250.0,1,17
2,340.0,1,17
0,400.0,1,17
1,380.0,1,17
0,60.0,1,17
2,1080.0,1,17
0,80.0,1,17
1,970.0,1,17
0,80.0,1,17
2,840.0,1,17
0,50.0,1,17
1,680.0,1,17
0,80.0,1,17
2,550.0,1,17
0,70.0,1,17
1,160.0,1,17
0,260.0,1,18
1,280.0,1,18
0,70.0,1,18
2,510.0,1,18
0,300.0,1,18
1,680.0,1,18
0,60.0,1,18
2,500.0,1,18
0,80.0,1,18
1,260.0,1,18
0,90.0,1,18
2,360.0,1,18
0,70.0,1,18
1,650.0,1,18
0,70.0,1,18
2,140.0,1,18
0,190.0,1,18
1,350.0,1,18
0,70.0,1,18
2,1200.0,1,18
0,90.0,1,18
1,690.0,1,18
0,90.0,1,18
2,2190.0,1,18
0,230.0,1,18
1,1200.0,1,18
0,90.0,1,18
2,1100.0,1,18
0,60.0,1,18
1,600.0,1,18
0,80.0,1,18
2,230.0,1,18
0,80.0,1,18
1,730.0,1,18
0,70.0,1,18
2,190.0,1,18
0,80.0,1,18
1,790.0,1,18
0,70.0,1,18
2,1250.0,1,18
0,170.0,1,18
1,1870.0,1,18
0,60.0,1,18
2,650.0,1,18
0,90.0,1,18
1,1180.0,1,18
0,80.0,1,18
2,2160.0,1,18
0,80.0,1,18
1,850.0,1,18
0,70.0,1,18
2,340.0,1,18
0,70.0,1,18
1,480.0,1,18
0,210.0,1,19
1,400.0,1,19
0,80.0,1,19
2,210.0,1,19
0,70.0,1,19
1,350.0,1,19
0,370.0,1,19
2,830.0,1,19
0,320.0,1,20
2,190.0,1,20
0,230.0,1,20
1,320.0,1,20
0,90.0,1,20
2,1640.0,1,20
0,340.0,1,20
1,670.0,1,20
0,70.0,1,20
2,710.0,1,20
0,70.0,1,20
1,440.0,1,20
0,130.0,1,20
0,200.0,1,21
1,230.0,1,21
0,70.0,1,21
2,400.0,1,21
0,280.0,1,22
1,190.0,1,22
0,90.0,1,22
2,520.0,1,22
0,230.0,1,23
1,480.0,1,23
0,100.0,1,23
2,420.0,1,23
0,150.0,1,23
1,790.0,1,23
0,80.0,1,23
2,1240.0,1,23
0,70.0,1,23
1,1970.0,1,23
0,80.0,1,23
2,620.0,1,23
0,90.0,1,23
1,2990.0,1,23
0,210.0,1,23
2,790.0,1,23
0,120.0,1,23
1,560.0,1,23
0,130.0,1,23
2,1340.0,1,23
0,80.0,1,23
1,540.0,1,23
0,80.0,1,23
2,650.0,1,23
0,60.0,1,23
1,1280.0,1,23
0,70.0,1,23
2,420.0,1,23
0,250.0,1,24
1,170.0,1,24
0,70.0,1,24
2,1010.0,1,24
0,220.0,1,25
1,610.0,1,25
0,60.0,1,25
2,650.0,1,25
0,280.0,1,26
2,70.0,1,26
0,80.0,1,26
1,1400.0,1,26
0,80.0,1,26
2,780.0,1,26
0,60.0,1,26
1,740.0,1,26
0,80.0,1,26
2,450.0,1,26
0,80.0,1,26
1,610.0,1,26
0,70.0,1,26
2,1480.0,1,26
0,260.0,1,27
1,350.0,1,27
0,80.0,1,27
2,360.0,1,27
0,70.0,1,27
1,340.0,1,27
0,280.0,1,27
2,570.0,1,27
0,80.0,1,27
1,890.0,1,27
0,300.0,1,27
2,610.0,1,27
0,280.0,1,28
1,580.0,1,28
0,70.0,1,28
2,890.0,1,28
0,70.0,1,28
1,240.0,1,28
0,170.0,1,29
1,230.0,1,29
0,80.0,1,29
2,220.0,1,29
0,90.0,1,29
1,190.0,1,29
0,250.0,1,30
2,330.0,1,30
0,90.0,1,30
1,610.0,1,30
0,190.0,1,31
1,140.0,1,31
0,70.0,1,31
2,570.0,1,31
0,60.0,1,31
1,370.0,1,31
0,70.0,1,31
2,580.0,1,31
0,70.0,1,31
1,2250.0,1,31
0,70.0,1,31
2,670.0,1,31
0,70.0,1,31
1,100.0,1,31
0,230.0,1,32
1,240.0,1,32
0,90.0,1,32
2,240.0,1,32
0,110.0,1,32
1,300.0,1,32
0,340.0,1,33
2,150.0,1,33
0,80.0,1,33
1,1080.0,1,33
0,80.0,1,33
2,630.0,1,33
0,10.0,1,33
0,240.0,1,34
2,760.0,1,34
0,80.0,1,34
1,230.0,1,34
0,50.0,1,35
1,400.0,1,35
0,200.0,1,35
2,400.0,1,35
0,60.0,1,35
1,1040.0,1,35
0,230.0,1,36
1,310.0,1,36
0,70.0,1,36
2,1300.0,1,36
0,180.0,1,37
2,190.0,1,37
0,70.0,1,37
1,440.0,1,37
0,80.0,1,37
2,930.0,1,37
0,70.0,1,37
1,620.0,1,37
0,80.0,1,37
2,370.0,1,37
0,20.0,1,37
0,150.0,1,38
2,400.0,1,38
0,70.0,1,38
1,630.0,1,38
0,80.0,1,38
2,2160.0,1,38
0,60.0,1,38
1,830.0,1,38
0,240.0,1,39
1,330.0,1,39
0,90.0,1,39
2,260.0,1,39
0,100.0,1,39
1,770.0,1,39
0,230.0,1,40
2,250.0,1,40
0,80.0,1,40
1,850.0,1,40
0,90.0,1,40
2,170.0,1,40
0,250.0,1,41
1,230.0,1,41
0,70.0,1,41
2,530.0,1,41
0,180.0,1,42
1,270.0,1,42
0,80.0,1,42
2,560.0,1,42
0,60.0,1,42
1,970.0,1,42
0,60.0,1,42
2,1090.0,1,42
0,200.0,1,43
1,90.0,1,43
0,230.0,1,43
2,460.0,1,43
0,80.0,1,43
1,30.0,1,43
0,270.0,1,44
1,180.0,1,44
0,210.0,1,44
2,440.0,1,44
0,60.0,1,44
1,460.0,1,44
0,70.0,1,44
2,390.0,1,44
0,260.0,1,45
1,230.0,1,45
0,70.0,1,45
2,210.0,1,45
0,90.0,1,45
1,750.0,1,45
0,80.0,1,45
2,1680.0,1,45
0,90.0,1,45
0,260.0,1,46
2,390.0,1,46
0,100.0,1,46
1,400.0,1,46
0,70.0,1,46
2,490.0,1,46
0,70.0,1,46
